finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info
eng #2 starter duct link overplay at fan case 11 o clock,"['obey all warnings, cautions and notes as', 'remove eng#2 upper stater air duct', 'remove spherical bearing of air stater d', 'visual and dimensioal inspection of lug', 'penetrant crack test the lug', 'install serviceable spherical bearing of', 'install eng#2 upper stater air duct', 'adjust and measure length of spring betw', 'restore area back to its serviceable con']","[0.5, 4.0, 3.0, 2.0, 4.0, 4.0, 4.0, 2.0, 0.5]","['gah310a1', 'gah310a1', 'w303', 'w303', 'w811', 'w303', 'gah310a1', 'gah310a1', 'gah310a1']",0
eng 1 c duct lower panel lanyard severe corrosion 3ea,"['obey all of the warnings, caution, and n', 'replace eng 1 c duct lower panel lanyard', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1']",0
eng 1 fan cowl lh and rh hoist point plug not install 4ea,"['obey all of the warnings, caution, and n', 'install eng 1 fan cowl lh and rh hoist p', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1']",0
eng 1 lh c duct fwd hold open rod abnormal operation and cannot lock at retract position,"['obey all of the warnings, caution, and n', 'replace eng 1 lh c duct fwd hold open', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1']",0
eng 1 lh c duct upper pivot door found roller of movable door overplay,"['obey all of the warnings, caution, and n', 'replace eng 1 lh c duct upper pivot door', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1']",0
eng 1 post jam 6 acoustic pnl found hole,['repair acoustic panel hole ref to:'],[6.0],['w302'],nan
eng 1 precooler clamp not install 2ea,"['obey all of the warnings, caution, and n', 'install eng 1 precooler clamp', 'restore area back to its serviceable con']","[0.1, 3.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1']",0
eng 1 rh c duct cable fin 3032vc-a chafing pos under dcu,['cover by order 805279843'],[0.1],['gah310e1'],nan
eng 1 rh fan cowl lower grill broken,['cover by mdr no 80513707'],[0.1],['gah310a1'],nan
eng 1 several placard tear off,"['fabricate the placard,,', 'install exterior decal on the surface,,,']","[8.0, 8.0]","['w403', 'w403']",0
eng 2 c duct lower panel lanyards not install 3ea,"['obey all of the warnings, cautions, and', 'install lanyard', 'restore area back to its serviceable con']","[0.1, 2.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1']",0
eng 2 idg qad fasteners were broken 2 ea,"['obey all of the warnings, cautions, and', 'replace screw', 'restore area back to its serviceable con']","[0.1, 1.0, 0.5]","['gah320a1', 'gah330a1', 'gah330a1']",0
eng 2 lh lower pivot door actuator cover crack,"['cover by order 805139199', 'obey all warnings, cautions, and notes a', 'do visual inspection and measure the dam', 'clean and cut out the damage area', 'clean the repair area', 'apply flourescent penetrant and examine', 'protect the cut edges of the channel fai', 'identify the repair', 'restore area back to its serviceable con']","[0.1, 0.1, 2.0, 4.0, 2.0, 4.0, 4.0, 2.0, 0.1]","['gah310a1', 'w301', 'w301', 'w301', 'w301', 'w811', 'w403', 'w301', 'w301']",nan
eng 2 pcm bracket crack,"['obey all of the warnings, cautions, and', 'remove eng #2 pcm for repair acceess', 'remove unservicable pcm mounting support', 'do rework to the pcm bracket.', 'perform fpi inspection, to make sure no', 'manufacture the repair lug', 'perform fpi inspection, to make sure the', 'apply chromat conversion coating and pri', 'install the repair lug.', 'perform fpi inspection, to make sure the', 'apply exterior painting to the pcm brack', 'install a servicable pcm mounting suppor', ""identify the repair by 'frx171/x' mark a"", 'install previously removed pcm for repai', 'perform thrust reverser deployment and s', 'restore area back to its servicable cond']","[0.1, 3.0, 2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 3.0, 2.0, 0.1]","['gah310a2', 'gah310a2', 'w301', 'w301', 'w811', 'w301', 'w811', 'w403', 'w301', 'w811', 'w403', 'w301', 'w301', 'gah310a2', 'gah310a2', 'gah310a2']",0
eng 2 rh by pass duct found rivet loose 6ea pos 12 oclock,"['obey all warnings, cautions, and notes a', 'perform fastener replacement', 'clean and make sure the rivets and the w', 'restore area back to its serviceable con']","[0.1, 6.0, 2.0, 0.1]","['w301', 'w301', 'w301', 'w301']",0
"eng 2 rh c duct lower pivot door lower movable door torsion bar bracket bolt and nut not install pn abs0114t4-12 2ea, nut pn nsa5050-4c 4ea","['obey all of the warnings, caution, and n', 'install eng 2 rh c duct lower pivot door', 'restore area back to its serviceable con']","[0.1, 4.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1']",0
eng 2 several placard tear off,"['fabricate the placard,,', 'install exterior decal on the surface,,,']","[8.0, 8.0]","['w403', 'w403']",0
eng esn 41039 1 screw qad ring stuck,['eng esn 41039 1 screw qad ring stuck'],[4.0],['gemrepmr'],nan
eng# 1 inboard pylon rivet found missing 1 ea,['eng# 1 inboard pylon rivet found missing'],[6.0],['w403'],nan
eng#1 aft fairing rivet loose 10ea pos rh and lh side,"['replace fasteners affected.', 'damage assesment :']","[8.0, 0.0]","['gah320s1', 'gah310zz']",0
eng#1 aft fairing teflon rivet loose 7ea pos rh,['install new telfon.'],[10.0],['gah320s1'],0
eng#1 air intake cowl bonding strap position 12 'clck found crack,"['obey all warnings, cautions and notes as', 'item hanggar']","[0.1, 6.0]","['gah310zz', 'gah310zz']",nan
eng#1 air intake cowl bonding strap position 7 o'clock and plate found crack,"['obey all warnings, cautions and notes as', 'replace rigid bonding', 'restore area back to its serviceable con']","[0.1, 4.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1']",nan
eng#1 and eng#2 cna sleeve bolt and nut broken 6ea,"['obey all of the warnings, cautions and n', 'install new eng#1 cna sleeve bolt and nu', 'install new eng#2 cna sleeve bolt and nu', 'restore area back to its serviceable con']","[0.1, 4.0, 4.0, 0.1]","['gah320a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
eng#1 attrition panel pos 1 o'clock eroded,['perform permanent repair eng#1 attrition'],[6.0],['w302'],0
eng#1 attrition panel pos 6 o'clock eroded,['perform permanent repair eng#1 attrition'],[6.0],['w302'],0
eng#1 bleed valve stuck close during opc,"['replace eng#1 bleed valve', 'do leak test of the engine bleed valve i']","[3.0, 2.0]","['gah320a1', 'gah320a1']",0
eng#1 bracket pn: up12014 at angel gear box broken,"['remove bracket of oil tube for send to s', 'perform welding bracket was broken', 'install bracket of oil tube']","[2.0, 4.0, 2.0]","['gah320a1', 'w303', 'gah320a1']",0
eng#1 clip below gree edp found broken,['pse replaced clip broken'],[2.0],['gah210a2'],as62408:u1653 (clip)
eng#1 cna inner side pos 12 river loose 5 ea,"['obey all the warnings, cautions, and not', 'perform remove fastener loose', 'perform install fastener', 'do visual inspection to verify all proce']","[0.1, 4.0, 4.0, 1.0]","['w301', 'w301', 'w301', 'w301']",0
eng#1 cna pen-nib rh side rivet has loose 1 ea,"['obey all of the warnings, cautions and n', 'replace rivet due to loose', 'paint the rivet head (apply two pack', 'do detail visual inspection to make sure', 'use the omat 262a marker to write']","[1.0, 8.0, 2.0, 2.0, 2.0]","['w301', 'w301', 'w403', 'w301', 'w301']","515k011-910012:0zx56 (sealant primer (515k011-910-012))
cr3523-5-02:11815 (rivet)"
eng#1 cna plat damper pos 12 fwd side fastener broken,"['obey all warnings, cautions, and notes a', 'perform remove fastener', 'perform install fastener', 'do visual inspection to verify all proce']","[0.1, 12.0, 12.0, 2.0]","['w301', 'w301', 'w301', 'w301']",0
eng#1 cna plate damper pos 12 rh side broken,"['obey all the warnings, cautions, and not', 'perform remove fastener', 'perform install fastener', 'do visual inspection to verify all proce']","[0.1, 12.0, 12.0, 1.0]","['w301', 'w301', 'w301', 'w301']",0
eng#1 cna pos 12 fastener loose 3 ea,"['obey all warnings, cautions, and notes a', 'perform replacement loose fastener.', 'do visual inspection to verify all proce']","[0.1, 6.0, 2.0]","['w301', 'w301', 'w301']",0
eng#1 cna pos 12 fastener loose 6 ea lh and rh side,"['obey all warnings, cautions, and notes a', 'perform remove fastener', 'perform install fastener', 'do visual inspection to verify all proce']","[0.1, 6.0, 6.0, 2.0]","['w301', 'w301', 'w301', 'w301']",0
eng#1 cna pos 12 rear side fastener loose 1ea,"['obey all warnings, cautions, and notes a', 'perform replacement loose fastener.', 'do visual inspection to verify all proce']","[0.1, 6.0, 2.0]","['w301', 'w301', 'w301']",0
eng#1 edp green system leak from gear box,['covered by ndr 804562876 / seq 50'],[0.5],['gah330a1'],0
eng#1 fire loop clamp bracket has broken pos near g edp,"['removal of a fire detector element', 'obey all of the warnings, cautions and n', 'perform permanent repair to eng#1 fire l', 'install of a fire detector element', 'do operational test of the engine fire a']","[2.0, 0.1, 8.0, 2.0, 1.0]","['gah320e1', 'w303', 'w303', 'gah320e1', 'gah320e1']",nan
eng#1 fohe lower mount link overplay,['replace eng #1 fohe mount link'],[3.0],['gah320a1'],0
eng#1 found hole damage on rear acoustic panel at 10 o'clock,['pse repair'],[2.0],['gah220a2'],nan
eng#1 fwd eng mount rear trunnion hole corrosion,"['do cleaning engine fwd mount', 'examine the vertical load fail safe link']","[2.0, 3.0]","['gah320a1', 'gah310a1']",nan
eng#1 hyd tube case drain edp green clamp loose,"['obey all of the warnings, cautions and n', 'do retighten the clamp of green edp case', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah320a1', 'gah320a1', 'gah320a1']",nan
eng#1 i/b c-duct lanyard broken 3 ea,['cover by order 805142323'],[0.5],['gah330a1'],0
eng#1 inboard pylon rivet found missing 1ea,['pse completed rivet at eng#1 i/b pylon'],[1.0],['gah210a2'],nan
eng#1 infill panel crack 3cm pos 08.00 o clock,"['obey all of the warning and cautions giv', 'replace outlet guide vane infill panel', 'apply primer to the clearance around the', 'apply cold curing silicone compound to f']","[0.5, 4.0, 1.0, 2.0]","['gah310a1', 'gah310a1', 'gah310s1', 'gah310s1']",0
eng#1 infill panel hole pos 10.00 o clock,['replace ogv infill panel'],[3.0],['gah320a1'],0
eng#1 inner barrel panels found nick at several places,"['obey all warnings, cautions, and notes a', 'do detail visual inspection to measure t', 'perform permanent repair to the damage', 'do dvi to ensure the repair']","[0.1, 2.0, 8.0, 2.0]","['w302', 'w302', 'w302', 'w302']",0
eng#1 inner cna drain pos 12 fastener loose 3ea,"['obey all the warnings, cautions, and not', 'perform remove fastener', 'perform install fastener', 'do visual inspection to verify all proce']","[0.1, 8.0, 8.0, 1.0]","['w301', 'w301', 'w301', 'w301']",0
eng#1 inner fan cowl pos o/b and i/b paint peel off,['cover by order 805142355'],[0.1],['w403'],nan
eng#1 inner lh and rh fancowl paint peel off,['do repaint exterior surface finish'],[12.0],['w403'],0
eng#1 lh c duct lower pivot door cover actuator suspect crack 2cm,"['remove moveable panel lower pivot door f', 'obey all the warnings, cautions and note', 'measure the damage', 'cut out the damage area', 'do liquid penetrant testing to make sure', 'clean the repair area', 'protect the cut edges with polyurethane', 'identify the repair with 0mat766 of diff', 'install moveable panel lower pivot door']","[2.0, 0.1, 2.0, 8.0, 4.0, 2.0, 4.0, 4.0, 2.0]","['gah320a1', 'w301', 'w301', 'w301', 'w811', 'w301', 'w301', 'w301', 'gah310a1']",nan
eng#1 lh t/r angle bracket suspect crack at rear latch no 7,"['obey all of the warnings, cautions and n', 'remove bracket for access', 'do detail visual to make sure the crack', 'apply a/c exterior paint as existing col', 'install bracket']","[0.1, 3.0, 2.0, 3.0, 3.0]","['w301', 'w301', 'w301', 'w403', 'w301']","cr3523-4-02:11815 (rivet,cherry-max)
alodine1200s:71410 (chromat conversion coating)
ams4462-032:qa251 (aluminum sheet 0.032x48x144 inch)
4206,32916666667 (activator aviox)
3819,68194444444 (aer ast hard 90150)
37098-00000:91342 (aviox primer 37098)
nas1921m05s05au:80205 (blind rivet)
77702-054569:91342 (aviox - grey bac707)"
eng#1 lh t/r lower pivot door actuator cover has missing apart,"['obey all the warnings, cautions, and not', 'eng#1 lh t/r lower pivot door actuator c', 'apply protective treatment to the actuat']","[0.1, 8.0, 3.0]","['w301', 'w301', 'w403']","cr3523-4-02:11815 (rivet,cherry-max)
cr3523-5-02:11815 (rivet)
alodine1200s:71410 (chromat conversion coating)
4206,32916666667 (activator aviox)
3819,68194444444 (aer ast hard 90150)
37098-00000:91342 (aviox primer 37098)
nas1919m04s03w:80205 (rivet, blind)
77702-054569:91342 (aviox - grey bac707)
nas9307m-5-03:80205 (rivet blind)
nas9307m-4-04:fape3 (rivet)"
eng#1 lh t/r upper pivot door angle bracket indication of crack and fastener not install,"['obey all of the warnings, cautions, and', 'remove eng#1 lh t/r upper pivot door ang', 'do visual inspection on angle bracket at', 'install eng#1 lh t/r upper pivot door an', 'restore area back to its serviceable con']","[0.5, 3.0, 2.0, 4.0, 0.5]","['gah310a1', 'gah310a1', 'w301', 'gah310a1', 'gah310a1']",0
eng#1 lower aft pylon rivet loose 60 ea,['cover by order 805134993'],[2.0],['gah310a1'],0
eng#1 lower aft pylon stiffener broken,['cover by order 805142326'],[0.5],['gah330a1'],0
eng#1 lower eec cooling duct bracket broken,"['remove lower eec cooling duct bracket en', 'obey all warnings, cautions and notes as', 'perform permanent repair to eng#1 lower', 'install lower eec cooling duct bracket e']","[2.0, 0.1, 8.0, 2.0]","['gah320a1', 'w303', 'w303', 'gah320a1']",nan
eng#1 lower fairing plate nut broken 7ea,['replace plate nut'],[4.0],['gah320s1'],0
eng#1 lower fairing rivet loose 12ea pos rh side,['replace fasteners affected.'],[6.0],['gah320s1'],0
eng#1 lower fairing rivet loose 4ea pos aft side,['replace fasteners affected.'],[6.0],['gah320s1'],0
eng#1 lower fairing stiffener broken,['replace lower fairing stiffener at eng#1'],[2.0],['gah320a1'],0
eng#1 lower fan cowl rubber seal missing,['job transfer to new order (805113472) of'],[0.1],['w301'],nan
eng#1 nosecowl taken for pk-gpq,"['remove radome', 'perform dvi on the outer and inner skin', 'perform tap test inspection to ensure no', 'apply exterior paint on radome', '#engineering note', 'install radome']","[8.0, 6.0, 2.0, 4.0, 0.1, 4.0]","['gah320e1', 'w302', 'w302', 'w403', 'w302', 'gah310e1']",0
eng#1 oil drain tube bracket found broken,['pse welding eng#1 oil drain tube bracket'],[2.0],['gah210a2'],nan
eng#1 precooler not install,"['obey all of the warnings, cautions, and', 'install precooler eng#1', 'do leak check connection area', 'restore area back to its serviceable con']","[0.1, 3.0, 3.0, 0.5]","['gah320a1', 'gah320a1', 'gah320a1', 'gah320a1']",0
eng#1 precooler rod corrosion 2ea,"['remove rod', 'remove corrosion at rod precooler', 'do repair coating on the surface', 'install rod']","[2.0, 12.0, 10.0, 2.0]","['gah320a1', 'w301', 'w403', 'gah320a1']",0
eng#1 pylon panel 452cr rubber seal tear off,['replace rubber seal 452cr'],[2.0],['gah320a1'],0
"eng#1 pylon panel plate nut broken 5ea at 452cr,454kr,454bl",['replace plate nut affected'],[8.0],['gah320s1'],0
eng#1 pylon panel screw and washer broken 100ea,['replace screw and washer at eng#1 pylon'],[2.0],['gah320a1'],0
eng#1 rear acoustic panel dent pos 03.00 o clock,"['obey all warnings, cautions, and notes a', 'perform permament repair to the eng#1 re', 'do general visual and tap test inspectio', 'make record details of repair no. frs g0']","[0.1, 2.0, 8.0, 2.0]","['w302', 'w302', 'w302', 'w302']",0
eng#1 rh t/r angle bracket suspect crack at rear latch no #7,"['obey all of the warnings, cautions and n', 'remove bracket for access', 'do detail visual to make sure the crack', 'apply a/c exterior paint as existing col', 'install bracket']","[0.1, 3.0, 2.0, 3.0, 3.0]","['w301', 'w301', 'w301', 'w403', 'w301']","cr3523-4-02:11815 (rivet,cherry-max)
alodine1200s:71410 (chromat conversion coating)
ams4462-032:qa251 (aluminum sheet 0.032x48x144 inch)
4206,32916666667 (activator aviox)
3819,68194444444 (aer ast hard 90150)
37098-00000:91342 (aviox primer 37098)
nas1921m05s05au:80205 (blind rivet)
77702-054569:91342 (aviox - grey bac707)"
eng#1 spinner fairing paint peel off,"['remove spinner fairing', 'remove the polyurethane coating and epox', 'mask the areas not to be painted. apply', 'apply the polyurethane resin coating (om', 'install spinner fairing']","[2.0, 4.0, 4.0, 4.0, 2.0]","['gah320a1', 'gemreppt', 'gemreppt', 'gemreppt', 'gah310a1']",0
eng#1 turbin case around thermo couple found crack at several places,['examine the ip turbine case cooling mani'],[2.0],['gah320a1'],nan
eng#1c-duct hold open rod ubnormal,['covered by 805142327'],[0.0],['gah310zz'],nan
eng#2 (sn: 42169) nose cowl attachment nut pos 9 o'clock was out of position 1 ea,"['obey all of the warnings, cautions, and', 'reposition nut', 'restore area back to its serviceable con', 'cover mdr 804870780', 'cover mdr 804870780']","[0.1, 4.0, 0.5, 0.1, 0.1]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a2', 'gah330a2']",nan
eng#2 - lh fan cowl shoot bolt was chaffing,['replace lh fan cowl shoot bolt'],[3.0],['gah320a1'],0
eng#2 attrition lining found cut pos 12,['eng#2 attrition lining found cut pos 12'],[4.0],['w302'],0
eng#2 clip below aohe found broken,"['pse replaced clip broken', 'pse replaced clip broken']","[2.0, 1.0]","['gah210a2', 'gah210a2']",as62408:u1653 (clip)
