finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info,plants_per_step,order_info
all aisle proximity found bad condition,"['obey all of the warnings, cautions, and', 'do replacement of the floor proximity li', 'restore area back to its serviceable con']","[0.1, 14.0, 0.1]","['gah330c1', 'gah330c1', 'gah330c1']","pl88-900lh00:c1008 (light)
pl88-990lh00:c1008 (light)
floorsil2-8-15:fape3 (floorsil)","['gah3', 'gah3', 'gah3']",805572493
all armrest loose,['do adjustment to all armrest pax seat'],[24.0],['w101'],,['wsss'],805263426
all around doorsill need resealant,"['obey all warnings, cautions, and notes a', 'apply new sealant all around doorsill', 'restore area back to its serviceable con']","[1.0, 8.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1']",ps870b2:83574 (sealant bms 5-95 class b2 (ea) (ct 20)),"['gah3', 'gah3', 'gah3']",805418415
all around ntf and guuter galley need resealant,"['obey all of the warnings, cautions, and', 'apply the new sealant arround ntf galley', 'restore area back to its serviceable con']","[0.1, 35.0, 0.1]","['gah330s1', 'gah330s1', 'gah330s1']","floorsil2-8-18:d0919 (silicon sealant,quartz grey)","['gah3', 'gah3', 'gah3']",805550122
all arround doorsill need resealant,"['obey all of the warnings, cautions, and', 'apply a layer of polysulfide sealant to', 'restore area back to its serviceable con']","[0.1, 4.0, 0.1]","['gah330s1', 'gah330s1', 'gah330s1']",ps870a2:83574 (sealant),"['gah3', 'gah3', 'gah3']",805485549
all attd seat cover were dirty and worn,"['obey all of the warnings, cautions, and', 'remove all attd seat cover', 'cleaning all attd seat cover', 'install all attd seat cover', 'restore area back to its serviceable con']","[0.1, 2.0, 3.0, 2.0, 0.1]","['w101', 'w101', 'w101', 'w101', 'w101']",cm40-106:gmfdm (alcohol 70%),"['wsss', 'wsss', 'wsss', 'wsss', 'wsss']",805495832
all attd seat d4 found paint peel off,"['obey all of the warnings, cautions, and', 'do removal of the cabin attendant seat', 'note : obey all of the warnings, caution', 'note : obey all of the warnings, caution', 'note : obey all of the warnings, caution', 'note : obey all of the warnings, caution', 'note : obey all of the warnings, caution', 'note : obey all of the warnings, caution', 'do installation of the cabin attendant s']","[0.1, 2.0, 1.5, 3.0, 9.0, 1.0, 6.0, 3.0, 2.5]","['gah320c1', 'gah320c1', 'w101', 'w101', 'w101', 'w101', 'w103', 'w101', 'gah320c1']","velcrop120:gmfdm (abrasive paper 5' grade 120)
cm40-106:gmfdm (alcohol 70%)
90062-0000-0-006:d2603 (alexit verdunner 62)
40500-0000-0:d2603 (alexit hardener 400)
40412-72hk-r-007:d2603 (alexit int paint aic 1.8 dawn dark)","['gah3', 'gah3', 'wsss', 'wsss', 'wsss', 'wsss', 'wsss', 'wsss', 'gah3']",805501693
all attd seat placard were dirty,"['obey all of the warnings, cautions, and', 'remove attendant seat placards', 'fabricate all attendant seat placards', 'install attendant seat placards', 'restore area back to its serviceable con']","[0.1, 1.0, 3.0, 1.0, 0.1]","['w101', 'w101', 'w403', 'w101', 'w101']",p82889a:5k062 (15 x 50 yd. lexedge fr65),"['wsss', 'wsss', 'wspt', 'wsss', 'wsss']",805495840
all attd seat placards discoloration,"['remove all placards of all attd seats', 'fabricate all placards of attd seats', 'install new placards of all attd seats']","[4.0, 28.0, 4.0]","['w101', 'w403', 'w101']",3m3650-114:5h611 (scotchcal series 3650 clear 1.2 x 45 m),"['wsss', 'wspt', 'wsss']",805264020
all attd seat restraint system were dirty,"['general:', 'remove the restraint of all attd seats', 'do cleaning the restraint of all attd se', 'install the restraint of all attd seats', 'obey all of the warnings, cautions, and', 'remove all attd seat restraint system', 'cleaning all attd seat restraint system', 'install all attd seat restraint system', 'restore area back to its serviceable con']","[0.1, 6.0, 2.0, 6.0, 0.1, 6.0, 6.0, 6.0, 0.1]","['w101', 'w101', 'w501', 'w101', 'w101', 'w101', 'w501', 'w101', 'w101']",applied3-220:gmfdm (all purpose detergent cleaner),"['wsss', 'wsss', 'wsls', 'wsss', 'wsss', 'wsss', 'wsls', 'wsss', 'wsss']",805264018
all attd seat shroud paint peel off,"['obey all of the warnings, cautions, and', 'do removal of the cabin attendant seat (', 'note : obey all of the warnings, caution', 'note : obey all of the warnings, caution', 'note : obey all of the warnings, caution', 'note : obey all of the warnings, caution', 'note : obey all of the warnings, caution', 'do installation of the cabin attendant s', 'restore area back to its serviceable con']","[0.1, 7.0, 6.0, 12.0, 42.0, 24.0, 12.0, 12.0, 11.0]","['gah330c1', 'gah330c1', 'w101', 'w101', 'w101', 'w103', 'w101', 'gah330c1', 'gah330c1']","velcrop120:gmfdm (abrasive paper 5' grade 120)
90062-0000-0-006:d2603 (alexit verdunner 62)
40412-71r7-7:d2603 (alexit int paint bac 7240 gray)","['gah3', 'gah3', 'wsss', 'wsss', 'wsss', 'wsss', 'wsss', 'gah3', 'gah3']",805424252
all attd seats bottom covers were discoloration,"['general:', 'replace the bottom cover of all attd sea', 'replace bottom cover post 4rh', 'restore area back to its serviceable con']","[0.1, 11.0, 1.0, 0.1]","['w101', 'w101', 'w101', 'w101']",2b7098-11eep:31218 (cover-assy seat pan),"['wsss', 'wsss', 'wsss', 'wsss']",805264017
all attd seats headrest covers were discoloration and post 4rh missing,"['general:', 'replace headrest cover of all attd seats', 'replace headrest cover post 4rh', 'restore area back to its serviceable con']","[0.1, 11.0, 1.0, 0.1]","['w101', 'w101', 'w101', 'w101']",2b7095-11eep:31218 (cover-assy headrest),"['wsss', 'wsss', 'wsss', 'wsss']",805264014
all attd seats lowerback covers were discoliration and post 4rh missing,"['general:', 'replace the lowerback cover of all attd', 'replace lowerback cover post 4rh', 'restore area back to its serviceable con']","[0.1, 11.0, 1.0, 0.1]","['w101', 'w101', 'w101', 'w101']",2b7097-11eep:31218 (cover-assy backrest),"['wsss', 'wsss', 'wsss', 'wsss']",805264016
all attd seats upperback cover were discoloration and post 4rh missing,"['general:', 'replace the upperback cover of all attd', 'replace upperback cover post 4rh', 'restore area back to its serviceable con']","[0.1, 11.0, 1.0, 0.1]","['w101', 'w101', 'w101', 'w101']",2b7096-11eep:31218 (cover-assy upper back),"['wsss', 'wsss', 'wsss', 'wsss']",805264015
all attendant seat covers dirty,"['obey all of the warnings, cautions, and', 'remove all attendant seat covers', 'cleaning all attendant seat covers', 'install all attendant seat covers', 'restore area back to its serviceable con']","[0.1, 2.0, 5.0, 2.0, 0.1]","['w101', 'w101', 'w501', 'w101', 'w101']","ga68100090007:gl002 (dry cleaning solvent, 1drum=333kg)","['wsss', 'wsss', 'wsls', 'wsss', 'wsss']",805432649
all attendant seat covers were missing post 4rh.,"['general:', 'replace all seat covers of attd seat 4rh', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['w101', 'w101', 'w101']","2b7095-1eep:31218 (cushion-cover assy (headrest))
2b7096-1eep:31218 (cushion-cover assy (backrest))
2b7097-1eep:31218 (cushion-cover assy (backrest))
2b7098-1eep:31218 (cushion-cover assy (seat pan))","['wsss', 'wsss', 'wsss']",805264029
all attendant seat found discoloration,"['obey all of the warnings, cautions, and', 'remove cabin attendant seat', 'repair all attendant seat', 'repaint all attendant seat and make sure', 'install cabin attendant seat', 'restore area back to its serviceable con']","[0.1, 5.0, 96.0, 24.0, 7.0, 0.1]","['gah320c1', 'gah320c1', 'w101', 'w103', 'gah320c1', 'gah320c1']","velcrop120:gmfdm (abrasive paper 5' grade 120)
90062-0000-0-006:d2603 (alexit verdunner 62)
40500-0000-0:d2603 (alexit hardener 400)
40412-784u-7:d2603 (alexit int paint aic 3.38 dark porcelain)","['gah3', 'gah3', 'wsss', 'wsss', 'gah3', 'gah3']",805257646
all attendant seat paint peel off,"['obey all of the warnings, cautions, and', 'remove attendant seat for send to shop', 'check and inspect all attendant seat and', 'disassembly all attendant seat', 'repair all attendant seat assy', 'cleaning all attedant seat', 'apply paint to all attendant seat assy', 'assembly all attendant seat', 'install serviceable attendant seat from', 'restore area back to its serviceable con']","[0.1, 12.0, 12.0, 18.0, 36.0, 12.0, 24.0, 18.0, 12.0, 1.0]","['gah330c1', 'gah330c1', 'w101', 'w101', 'w101', 'w101', 'w103', 'w101', 'gah330c1', 'gah330c1']","velcrop120:gmfdm (abrasive paper 5' grade 120)
34657-70dv-7:d2603 (alexit int paint aic 2.53 foggy)
34515-0000-0-009:d2603 (alexit filler hardener 343-15)
34557-0000-0-009:21213 (alexit hardener 345-57)
34360-1815-3:d2603 (alexit fst 343-60 filler ivory)","['gah3', 'gah3', 'wsss', 'wsss', 'wsss', 'wsss', 'wsss', 'wsss', 'gah3', 'gah3']",805466862
all attendant seats found paint peel off,"['obey all of the warnings, cautions, and', 'do removal of the cabin attendant seat (', 'note : obey all of the warnings, caution', 'note : obey all of the warnings, caution', 'note : obey all of the warnings, caution', 'note : obey all of the warnings, caution', 'note : obey all of the warnings, caution', 'note : obey all of the warnings, caution', 'do installation of the cabin attendant s']","[0.1, 12.0, 5.0, 11.0, 33.0, 5.0, 22.0, 11.0, 18.0]","['gah330c1', 'gah330c1', 'w101', 'w101', 'w101', 'w101', 'w103', 'w101', 'gah330c1']","velcrop320:gmfdm (abrasive paper 5' grade 320)
velcrop120:gmfdm (abrasive paper 5' grade 120)
cm40-106:gmfdm (alcohol 70%)
90062-0000-0-006:d2603 (alexit verdunner 62)
40500-0000-0:d2603 (alexit hardener 400)
40412-784u-7:d2603 (alexit int paint aic 3.38 dark porcelain)","['gah3', 'gah3', 'wsss', 'wsss', 'wsss', 'wsss', 'wsss', 'wsss', 'gah3']",805464518
all backrest not align,['do adjustment to all backrest of pax sea'],[48.0],['w101'],,['wsss'],805263430
all belly need fastener paint touch up,['restore the surface protection and apply'],[6.0],['w403'],"41122-908w-0-428:d2603 (alextt-h/s basecoat white bac 7067))
11344-1821-n-307:d2603 (seevenax-cf-h/s-primer 113-44)",['wspt'],805530430
all blanking cap door found crack,"['obey all of the warnings, cautions, and', 'remove the blanking cap of hoisting poin', 'install blanking cap of hoisting point o', 'restore area back to its serviceable con']","[0.1, 2.0, 3.0, 0.1]","['gah320c1', 'gah320c1', 'gah320c1', 'gah320c1']",asna2879a050:f5442 (blanking cap),"['gah3', 'gah3', 'gah3', 'gah3']",805260058
all bolt attd seat d1rh corrosion,"['obey all of the warnings, cautions, and', 'do the cleaning of the corrosion area', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah330c1', 'gah330c1', 'gah330c1']",mek:gmfdm (cleaning solvent),"['gah3', 'gah3', 'gah3']",805468658
all business seat shell shroud paint peel off,"['note : obey all of the warnings, caution', 'repair all fairing backshell c-class sea', 'cleaning all fairing backshell c-class s', 'touchup all fairing backshell c-class se', 'restore area back to its serviceable con']","[0.1, 12.0, 3.0, 48.0, 0.1]","['w101', 'w101', 'w103', 'w103', 'w103']","velcrop120:gmfdm (abrasive paper 5' grade 120)
34557-0000-0-009:21213 (alexit hardener 345-57)
34657-749a-7-142:d2603 (alexit-fst-topcoat 346-57 da 2.20 beige)","['wsss', 'wsss', 'wsss', 'wsss', 'wsss']",805466875
all c class seat net found not proper install,"['obey all of the warnings, cautions, and', 'install properly c/class seat net']","[0.1, 10.0]","['gah310c1', 'gah310c1']",,"['gah3', 'gah3']",804774957
all center spreader light corrosion,"['obey all of the warnings, cautions, and', 'cleaning any signs of corrosion from all', 'restore area back to its serviceable con']","[0.1, 16.0, 0.1]","['w101', 'w101', 'w101']",alodine1500:71410 (alloy protective coat),"['wsss', 'wsss', 'wsss']",805494672
all cic pax door found bad condition,"['obey all of the warnings, cautions, and', 'cleaning coating before reapply', 'application of protection system (coatin', 'restore area back to its serviceable con']","[0.2, 14.0, 12.0, 0.5]","['gah330c1', 'gah330c1', 'gah330c1', 'gah330c1']","ardroxav15:0l040 (cic bms3-35 (aerosol 1can =400ml))
mek:gmfdm (cleaning solvent)","['gah3', 'gah3', 'gah3', 'gah3']",805491972
all cockpit window weather seal found erroded,"['obey all of the warnings, cautions, and', 'perform repair of the weather seal of th', 'perform repair of the weather seal of th', 'perform repair of the weather seal of th', 'restore area back to its serviceable con']","[0.1, 2.0, 2.0, 3.0, 0.1]","['gah330s1', 'gah330s1', 'gah330s1', 'gah330s1', 'gah330s1']","pr1425b2:81205 (windshield sealant (ct 48h))
lotoxane:gmfdm (cleaning agent)
pr142:gmfdm (promoter)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805469168
all cover cushion seat fcrc stain and armrest cover stain,"['obey all of the warnings, cautions, and', 'remove of the all cover cushion seat and', 'general :', 'clean all seat cover fcrc', 'restore area back to its serviceable con', 'install of the serviceable all cover cus', 'restore area back to its serviceable con']","[0.1, 0.8, 0.1, 6.0, 0.1, 1.0, 0.1]","['gah330c1', 'gah330c1', 'w501', 'w501', 'w501', 'gah330c1', 'gah330c1']","ga68100090007:gl002 (dry cleaning solvent, 1drum=333kg)","['gah3', 'gah3', 'wsls', 'wsls', 'wsls', 'gah3', 'gah3']",805491963
all cover pivot seatpan lh side b/c seat found crack pn : 1009900-301bdb,"['obey all of the warnings, cautions, and', 'do replacement of the cover-legrest pivo', 'restore area back to its serviceable con']","[0.1, 2.5, 0.1]","['gah330c1', 'gah330c1', 'gah330c1']",1009900-301bdb:92802 (cover - legrest pivot),"['gah3', 'gah3', 'gah3']",805511818
all cover support arm lining door paint peel off,"['obey all of the warnings, cautions, and', 'remove of the door linning (code gz & jz', 'repair surface of support arm cover', 'paint support arm cover', 'install of the door linning (code gz & j', 'restore area back to its serviceable con']","[0.1, 4.0, 8.0, 8.0, 5.5, 0.1]","['gah330c1', 'gah330c1', 'w401', 'w103', 'gah330c1', 'gah330c1']","velcrop320:gmfdm (abrasive paper 5' grade 320)
velcrop120:gmfdm (abrasive paper 5' grade 120)
velcrop400:gmfdm (abrasive paper 5' grade 400)
34557-0000-0-009:21213 (alexit hardener 345-57)
34360-1815-3:d2603 (alexit fst 343-60 filler ivory)
34657-9185-7-142:d2603 (alexit-fst-topcoat 346-57 da 2.8 beige)","['gah3', 'gah3', 'wscb', 'wsss', 'gah3', 'gah3']",805466877
all cover support arm paint peel off,"['obey all of the warnings, cautions, and', 'do removal of the door lining cover supp', 'repair all cover support arm', 'paint all cover support arm with same co', 'do installation of the door lining cover', 'restore area back to its serviceable con']","[0.1, 0.5, 16.0, 16.0, 0.5, 0.1]","['gah330c1', 'gah330c1', 'w401', 'w103', 'gah330c1', 'gah330c1']","velcrop320:gmfdm (abrasive paper 5' grade 320)
velcrop120:gmfdm (abrasive paper 5' grade 120)
90062-0000-0-006:d2603 (alexit verdunner 62)
40500-0000-0:d2603 (alexit hardener 400)
34360-9110-3:d2603 (alexit fst 343-60 filler white)
40412-1773-7:d2603 (alexit int paint aic 3.25 porcelain)
34515-0000-0-006:d2603 (alexit filler hardener 345-15)","['gah3', 'gah3', 'wscb', 'wsss', 'gah3', 'gah3']",805491616
all crew attendant seat backrest cushion found all cas backrest cushion(x12) in dteriorating condition,"['obey all of the warnings, cautions, and', 'replace all crew attendant seat backrest', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['w101', 'w101', 'w101']",2b7097-21:31218 (cushion-backrest),"['wsss', 'wsss', 'wsss']",805495754
all curtain dirty,"['obey all of the warnings, cautions, and', 'remove the curtains for cleaning at work', 'cleaning all curtains', 'install all curtains', 'restore area back to its serviceable con']","[0.1, 6.0, 6.0, 8.0, 0.1]","['gah330c1', 'gah330c1', 'w501', 'gah330c1', 'gah330c1']","ga68100090007:gl002 (dry cleaning solvent, 1drum=333kg)","['gah3', 'gah3', 'wsls', 'gah3', 'gah3']",805550125
all curtain found dirty (perform dry cleaning only),"['obey all of the warnings, cautions, and', 'do removal of the curtains for send to s', 'clean all the curtains (dry cleaning onl', 'do installation of the curtains', 'restore area back to its serviceable con']","[0.1, 3.0, 5.0, 4.5, 0.1]","['gah330c1', 'gah330c1', 'w501', 'gah330c1', 'gah330c1']","ga68100090007:gl002 (dry cleaning solvent, 1drum=333kg)","['gah3', 'gah3', 'wsls', 'gah3', 'gah3']",805573242
all dado panel paint peel off,"['obey all of the warnings, cautions, and', 'do removal all of the dado panel(s) for', 'repair surface of all dado panel', 'paint with aic 3.25 for yc class', 'do installation the serviceable of the d', 'restore area back to its serviceable con']","[1.0, 10.0, 30.0, 10.0, 12.0, 1.0]","['gah320c1', 'gah320c1', 'w401', 'w103', 'gah320c1', 'gah320c1']","microultra15-3:gmfdm (int surface fill bms 5-136a typ 2 clss)
90062-0000-0-006:d2603 (alexit verdunner 62)
40500-0000-0:d2603 (alexit hardener 400)
ec3532ab:76381 (adhesive bms5-105 tyii cli(as ec3532ba))
40412-1773-7:d2603 (alexit int paint aic 3.25 porcelain)","['gah3', 'gah3', 'wscb', 'wsss', 'gah3', 'gah3']",805252822
all decorative cover found paint peel off,"['obey all of the warnings, cautions, and', 'do removal of the decorative-covers of s', 'repair surface of decorative panel door', 'paint with aic 3.25', 'do installation of the decorative-covers', 'restore area back to its serviceable con', 'obey all of the warnings, cautions, and', 'do removal of the decorative slide-raft', 'repair surface of all decorative cover', 'paint all decorative cover', 'do installation of the decorative slide-', 'restore area back to its serviceable con']","[0.1, 0.8, 16.0, 8.0, 1.5, 0.1, 0.1, 1.0, 16.0, 8.0, 2.0, 0.1]","['gah330c1', 'gah330c1', 'w401', 'w103', 'gah330c1', 'gah330c1', 'gah330c1', 'gah330c1', 'w401', 'w103', 'gah330c1', 'gah330c1']","velcrop320:gmfdm (abrasive paper 5' grade 320)
velcrop120:gmfdm (abrasive paper 5' grade 120)
microultra15-3:gmfdm (int surface fill bms 5-136a typ 2 clss)
90062-0000-0-006:d2603 (alexit verdunner 62)
40500-0000-0:d2603 (alexit hardener 400)
40412-1773-7:d2603 (alexit int paint aic 3.25 porcelain)","['gah3', 'gah3', 'wscb', 'wsss', 'gah3', 'gah3', 'gah3', 'gah3', 'wscb', 'wsss', 'gah3', 'gah3']",805464973
all decorative cover paint peel off,"['obey all of the warnings, cautions, and', 'do removal of the decorative-covers for', 'repair surface of decorative cover panel', 'paint decorative cover panel', 'do installation of the decorative-covers', 'restore area back to its serviceable con']","[0.1, 1.0, 8.0, 8.0, 2.0, 0.1]","['gah330c1', 'gah330c1', 'w401', 'w103', 'gah330c1', 'gah330c1']","velcrop320:gmfdm (abrasive paper 5' grade 320)
velcrop400:gmfdm (abrasive paper 5' grade 400)
34557-0000-0:d2603 (alexit int hardener 345-57)
34557-0000-0:d2603 (alexit int hardener 345-57)
34657-9185-7:d2603 (alexit int paint aic 2.8 grey cloud)
34557-0000-0-009:21213 (alexit hardener 345-57)
34360-9110-3:d2603 (alexit fst 343-60 filler white)
34515-0000-0-006:d2603 (alexit filler hardener 345-15)","['gah3', 'gah3', 'wscb', 'wsss', 'gah3', 'gah3']",805424250
