finding_description,action_taken,work_centre,materials_required,man_hours
AFT CARGO SIDEWALL 151 TW FOUND DELAMINATION,PERFORM PERMANENT REPAIR ON AFT CARGO SI,W302,"99,15625 (LAMP)
E0530-01:F5442 (LAMP)
8GH004554-28:D8095 (LAMP)",4
AFT CARGO SIDEWALL 151 TW FOUND DELAMINATION,APPLY A/C INTERIOR PAINT AS EXISTING COL,W403,"30-2581-3:72914 (L I G H T)
4358532:F0214 (LOGO LIGHT,IDN 491190(POST)/53)",0
AFT CARGO SIDEWALL 151 TW FOUND DELAMINATION,INSTALL AFT CARGO SIDEWALL PANEL 151TW,GAH320A1,1002992-359ADR:92802 (ESCUTHEON),0
AFT CARGO SIDEWALL 151 TW FOUND DELAMINATION,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,1002992-359ADR:92802 (ESCUTHEON),1.2
AFT CARGO LOWER SIDEWALL 151 SW FOUND DELAMINATION AND TEMPORARY REPAIR,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320A1,1009018-003:92802 (LITERATURE POCKET SPRING),1
AFT CARGO LOWER SIDEWALL 151 SW FOUND DELAMINATION AND TEMPORARY REPAIR,REMOVE AFT CARGO PANEL FOR REPAIR,GAH320A1,"GA68100090007:GL002 (DRY CLEANING SOLVENT, 1DRUM=333KG)",1
AFT CARGO LOWER SIDEWALL 151 SW FOUND DELAMINATION AND TEMPORARY REPAIR,DO DETAIL VISUAL INSPECTIONS TO DETERMIN,W302,1250-16:C5307 (TABLE-FOLDING),0
AFT CARGO LOWER SIDEWALL 151 SW FOUND DELAMINATION AND TEMPORARY REPAIR,PERFORM PERMANENT REPAIR ON AFT CARGO LO,W302,1250-16:C5307 (TABLE-FOLDING),1
AFT CARGO LOWER SIDEWALL 151 SW FOUND DELAMINATION AND TEMPORARY REPAIR,APPLY A/C INTERIOR PAINT AS EXISTING COL,W403,1250-16:C5307 (TABLE-FOLDING),0
AFT CARGO LOWER SIDEWALL 151 SW FOUND DELAMINATION AND TEMPORARY REPAIR,INSTALL AFT CARGO PANEL,GAH320A1,,0
AFT CARGO LOWER SIDEWALL 151 SW FOUND DELAMINATION AND TEMPORARY REPAIR,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,,0
AFT CARGO LOWER SIDEWALL 151 QW FOUND DELAMINATION AND TEMPORARY REPAIR,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320A1,N40-1B40203-102:D9240 (HANDSET ASSY-CABIN),0
AFT CARGO LOWER SIDEWALL 151 QW FOUND DELAMINATION AND TEMPORARY REPAIR,REMOVE AFT CARGO PANEL FOR REPAIR,GAH320A1,N40-1B40203-102:D9240 (HANDSET ASSY-CABIN),1
AFT CARGO LOWER SIDEWALL 151 QW FOUND DELAMINATION AND TEMPORARY REPAIR,DO DETAIL VISUAL INSPECTIONS TO DETERMIN,W302,,1
AFT CARGO LOWER SIDEWALL 151 QW FOUND DELAMINATION AND TEMPORARY REPAIR,PERFORM PERMANENT REPAIR ON AFT CARGO LO,W302,1002993-001CAJ:92802 (ARMCAP ASY),0
AFT CARGO LOWER SIDEWALL 151 QW FOUND DELAMINATION AND TEMPORARY REPAIR,APPLY A/C INTERIOR PAINT AS EXISTING COL,W403,1002993-001CAJ:92802 (ARMCAP ASY),2
AFT CARGO LOWER SIDEWALL 151 QW FOUND DELAMINATION AND TEMPORARY REPAIR,INSTALL AFT CARGO PANEL,GAH320A1,1002993-001CAJ:92802 (ARMCAP ASY),0
AFT CARGO LOWER SIDEWALL 151 QW FOUND DELAMINATION AND TEMPORARY REPAIR,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,,3
AFT CARGO DOOR LAMP INDICATOR FULL OPEN AND CLOSE NOT ILLUMINATE,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320E1,"0-132-016300001:D2249 (CATCH ASSY, REVOLVING)",0
AFT CARGO DOOR LAMP INDICATOR FULL OPEN AND CLOSE NOT ILLUMINATE,REPLACE LAMP OF INDICATOR LIGHT AFT CARG,GAH320E1,"0-132-016300001:D2249 (CATCH ASSY, REVOLVING)",0
AFT CARGO DOOR LAMP INDICATOR FULL OPEN AND CLOSE NOT ILLUMINATE,DO OPENING OF THE FORWARD AND AFT CARGO-,GAH320E1,"0-132-016300001:D2249 (CATCH ASSY, REVOLVING)",0
AFT CARGO DOOR LAMP INDICATOR FULL OPEN AND CLOSE NOT ILLUMINATE,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320E1,"0-132-016300001:D2249 (CATCH ASSY, REVOLVING)",1.5
AFT CARGO CEILING PANEL 151 FC FOUND DELAMINATION,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320A1,"0-132-016300001:D2249 (CATCH ASSY, REVOLVING)",0
AFT CARGO CEILING PANEL 151 FC FOUND DELAMINATION,REMOVE AFT CARGO PANEL FOR REPAIR,GAH320A1,RDFW8790-51:SZ437 (LCD/SMART MONITOR (TPN RD-FW8790-51)),0
AFT CARGO CEILING PANEL 151 FC FOUND DELAMINATION,DO DETAIL VISUAL INSPECTIONS TO DETERMIN,W302,RDFW8790-51:SZ437 (LCD/SMART MONITOR (TPN RD-FW8790-51)),2.5
AFT CARGO CEILING PANEL 151 FC FOUND DELAMINATION,PERFORM PERMANENT REPAIR ON AFT CARGO CE,W302,RDFW8790-51:SZ437 (LCD/SMART MONITOR (TPN RD-FW8790-51)),0.5
AFT CARGO CEILING PANEL 151 FC FOUND DELAMINATION,APPLY A/C INTERIOR PAINT AS EXISTING COL,W403,A225400224-204:C5270 (SECTION),0
AFT CARGO CEILING PANEL 151 FC FOUND DELAMINATION,INSTALL AFT CARGO PANEL,GAH320A1,A225400224-204:C5270 (SECTION),1
AFT CARGO CEILING PANEL 151 FC FOUND DELAMINATION,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,A225400224-204:C5270 (SECTION),0
AFT CARGO CEILING PANEL 152 FC FOUND DELAMINATION,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320A1,,0
AFT CARGO CEILING PANEL 152 FC FOUND DELAMINATION,REMOVE AFT CARGO PANEL FOR REPAIR,GAH320A1,34655-7708-7:FAPE3 (ALEXIT INT PAINT AIC 2.16 FOG),1
AFT CARGO CEILING PANEL 152 FC FOUND DELAMINATION,DO DETAIL VISUAL INSPECTIONS TO DETERMIN,W302,"232-1:76381 (SCOTCH 3M MASKING TAPE NO.232-1)
PB125:GMFDM (PLASTIC ROLL)",0
AFT CARGO CEILING PANEL 152 FC FOUND DELAMINATION,PERFORM PERMANENT REPAIR ON CEILING PANE,W302,"232-1:76381 (SCOTCH 3M MASKING TAPE NO.232-1)
PB125:GMFDM (PLASTIC ROLL)",10
AFT CARGO CEILING PANEL 152 FC FOUND DELAMINATION,APPLY A/C INTERIOR PAINT AS EXISTING COL,W403,D2527104520400:FAPE3 (PANE),0
AFT CARGO CEILING PANEL 152 FC FOUND DELAMINATION,INSTALL AFT CARGO PANEL,GAH320A1,D2527104520400:FAPE3 (PANE),1
AFT CARGO CEILING PANEL 152 FC FOUND DELAMINATION,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,1003442-001:92802 (COAT HOOK ASSY),1
BULK CARGO FLOOR 162 DF FOUND EROSION,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320A1,34655-7619-7:FAPE3 (ALEXIT INT PAINT AIC 2.10 PEPPERDUST),1
BULK CARGO FLOOR 162 DF FOUND EROSION,REMOVE BULK CARGO FLOOR 162DF,GAH320A1,APPLIED3-220:GMFDM (ALL PURPOSE DETERGENT CLEANER),1
BULK CARGO FLOOR 162 DF FOUND EROSION,DO DETAIL VISUAL INSPECTIONS TO DETERMIN,W302,34655-7708-7:FAPE3 (ALEXIT INT PAINT AIC 2.16 FOG),1
BULK CARGO FLOOR 162 DF FOUND EROSION,PERFORM PERMANENT REPAIR ON BULK CARGO F,W302,APPLIED3-220:GMFDM (ALL PURPOSE DETERGENT CLEANER),1
BULK CARGO FLOOR 162 DF FOUND EROSION,APPLY LACQUERS NON SLIP COATING (POLYURE,W403,,0
BULK CARGO FLOOR 162 DF FOUND EROSION,INSTALL BULK CARGO FLOOR 162DF,GAH320A1,,5
BULK CARGO FLOOR 162 DF FOUND EROSION,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,CM8A103:71744 (LAMP),2
BELLY FAIRING PANEL 192 GB FOUND EROTION,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320A1,PR1829B1-2:83574 (WINDSHIELD SEALANT (CT 4H)),0
BELLY FAIRING PANEL 192 GB FOUND EROTION,REMOVE BELLY FAIRING PANEL 192GB,GAH320A1,,0
BELLY FAIRING PANEL 192 GB FOUND EROTION,DO MEASUREMENT AT THE DAMAGE AREA.,W302,,0
BELLY FAIRING PANEL 192 GB FOUND EROTION,DO PERMANENT REPAIR AT THE DAMAGE AREA.,W302,,2
BELLY FAIRING PANEL 192 GB FOUND EROTION,APPLY PAINT AS EXISTING COLOUR.,W403,,0
BELLY FAIRING PANEL 192 GB FOUND EROTION,INSTALL BELLY FAIRING PANEL 192GB,GAH320A1,,0
BELLY FAIRING PANEL 192 GB FOUND EROTION,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,C19755BA01:F9111 (EDU VIDEO),0
"ENG#2 PYLON PANEL 464EL, 464GR FOUND PLATENUT BROKEN 5EA",REPLACE PLATE-NUTS.,GAH320S1,BEL503169:FAPE3 (BABY BASINET),0
ENG#1 LH T/R LOWER PIVOT DOOR ACTUATOR COVER FOUND FASTENER LOOSE,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320A1,"3214-31:D1347 (BATTERY PACK, EMERGENCY)",0
ENG#1 LH T/R LOWER PIVOT DOOR ACTUATOR COVER FOUND FASTENER LOOSE,REMOVE PIVOT DOOR MOVEABLE PANEL FOR ACC,GAH320A1,RDFW8790-51:SZ437 (LCD/SMART MONITOR (TPN RD-FW8790-51)),0
ENG#1 LH T/R LOWER PIVOT DOOR ACTUATOR COVER FOUND FASTENER LOOSE,PERFORM REINSTALLATION OF FASTERNER LOOS,W301,RDFW8790-51:SZ437 (LCD/SMART MONITOR (TPN RD-FW8790-51)),4
ENG#1 LH T/R LOWER PIVOT DOOR ACTUATOR COVER FOUND FASTENER LOOSE,INSTALL PIVOT DOOR MOVEABLE PANEL,GAH320A1,,4
ENG#1 LH T/R LOWER PIVOT DOOR ACTUATOR COVER FOUND FASTENER LOOSE,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,"J540AI4-100:D1227 (GENERATOR, VACUUM)",0
BELLY FAIRING PANEL 191 FB FOUND EROTION,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320A1,"J540AI4-100:D1227 (GENERATOR, VACUUM)",1
BELLY FAIRING PANEL 191 FB FOUND EROTION,REMOVE BELLY FAIRING PANEL 191FB,GAH320A1,"289-601-248:53655 (MASK)
P0640-101:57399 (LIFE VEST-INFANT)
P0640-101:57399 (LIFE VEST-INFANT)
S6-01-0005-306:55827 (FIRST AID KIT)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103WC:57399 (CREW LIFE VEST)",0
BELLY FAIRING PANEL 191 FB FOUND EROTION,DO MEASUREMENT AT THE DAMAGE AREA.,W302,"289-601-248:53655 (MASK)
P0640-101:57399 (LIFE VEST-INFANT)
P0640-101:57399 (LIFE VEST-INFANT)
S6-01-0005-306:55827 (FIRST AID KIT)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103WC:57399 (CREW LIFE VEST)",3
BELLY FAIRING PANEL 191 FB FOUND EROTION,DO PERMANENT REPAIR AT THE DAMAGE AREA.,W302,"289-601-248:53655 (MASK)
P0640-101:57399 (LIFE VEST-INFANT)
P0640-101:57399 (LIFE VEST-INFANT)
S6-01-0005-306:55827 (FIRST AID KIT)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103WC:57399 (CREW LIFE VEST)",1
BELLY FAIRING PANEL 191 FB FOUND EROTION,APPLY PAINT AS EXISTING COLOUR.,W403,"289-601-248:53655 (MASK)
P0640-101:57399 (LIFE VEST-INFANT)
P0640-101:57399 (LIFE VEST-INFANT)
S6-01-0005-306:55827 (FIRST AID KIT)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103W:57399 (ADULT LIFE VEST)
P0723-103WC:57399 (CREW LIFE VEST)",0.5
BELLY FAIRING PANEL 191 FB FOUND EROTION,INSTALL BELLY FAIRING PANEL 191FB,GAH320A1,,0
BELLY FAIRING PANEL 191 FB FOUND EROTION,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,,2
AFT BELLY FAIRING 197FB SCREW STUCK 5EA,REMOVE SCREW STUCK.,GAH330S1,,0
AFT BELLY FAIRING 197FB SCREW STUCK 5EA,REPLACE PLATE-NUTS.,GAH320S1,,0
LH WING ACCESS PANEL 522TB ERROSION,"OBEY ALL OF THE WARNINGS, CAUTIONS AND N",GAH320A1,,0
LH WING ACCESS PANEL 522TB ERROSION,REMOVE PANEL 522TB AT LH WING,GAH320A1,,0
LH WING ACCESS PANEL 522TB ERROSION,DO DETAILED VISUAL INSPECTION (DVI) AND,W302,,2
LH WING ACCESS PANEL 522TB ERROSION,DO ULTRASONIC INSPECTION TO MAKE SURE NO,W808,2LA403702-02:D8095 (REAR DUAL NAVIGATION LIGHT),0
LH WING ACCESS PANEL 522TB ERROSION,REMOVE FASTENER FOR REPAIR ACCESS. KEEP,W301,44066:0AM53 (SEAL),4
LH WING ACCESS PANEL 522TB ERROSION,PERFORM PERMANENT REPAIR ON DAMAGED AREA,W302,"2LA003968-00:D8095 (LIGHT-ANTICOLLISION, IDN 46254)",0
LH WING ACCESS PANEL 522TB ERROSION,INSTALL THE FASTENERS AFTER REPAIR IS DO,W301,N40-1B40203-102:D9240 (HANDSET ASSY-CABIN),0
LH WING ACCESS PANEL 522TB ERROSION,APPLY EXTERIOR PAINT AS EXISTING COLOUR,W403,N40-1B40203-102:D9240 (HANDSET ASSY-CABIN),1.2
LH WING ACCESS PANEL 522TB ERROSION,INSTALL PANEL 522TB AT LH WING,GAH320A1,GMF-BAC1522-543-70093:GMFAA (SEAT TRACK COVER (GA-PMA)),1
LH WING ACCESS PANEL 522TB ERROSION,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,1002992-359ADR:92802 (ESCUTHEON),0
LH WING ACCESS PANEL 521BB ERROSION,"OBEY ALL OF THE WARNINGS, CAUTIONS AND N",GAH320A1,1002992-359ADR:92802 (ESCUTHEON),1.2
LH WING ACCESS PANEL 521BB ERROSION,REMOVE PANEL 521BB AT LH WING,GAH320A1,,1
LH WING ACCESS PANEL 521BB ERROSION,DO DETAILED VISUAL INSPECTION (DVI) AND,W302,4270-51-00:D1347 (BALLAST UNIT-ADVAND INTEGRATED),0
LH WING ACCESS PANEL 521BB ERROSION,DO ULTRASONIC INSPECTION TO MAKE SURE NO,W808,4270-51-00:D1347 (BALLAST UNIT-ADVAND INTEGRATED),1
LH WING ACCESS PANEL 521BB ERROSION,REMOVE FASTENER FOR REPAIR ACCESS. KEEP,W301,"9028A0005-01:D9893 (APPU, ASYM POSITION PICK-OFF UNIT)",6
LH WING ACCESS PANEL 521BB ERROSION,PERFORM PERMANENT REPAIR ON DAMAGED AREA,W302,,16
LH WING ACCESS PANEL 521BB ERROSION,INSTALL THE FASTENERS AFTER REPAIR IS DO,W301,1044834-011:92802 (LATCH ASSY - CONSOLE DOOR),0
LH WING ACCESS PANEL 521BB ERROSION,APPLY EXTERIOR PAINT AS EXISTING COLOUR,W403,F5757434100200:FAPE3 (FITTING ASSY),0
LH WING ACCESS PANEL 521BB ERROSION,INSTALL PANEL 521BB AT LH WING,GAH320A1,,0
LH WING ACCESS PANEL 521BB ERROSION,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,2LA403702-02:D8095 (REAR DUAL NAVIGATION LIGHT),0
ENG #2 TEFLON OF FAN AIR VALVE DUCT FOUND WORN,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320A1,"232-1:76381 (SCOTCH 3M MASKING TAPE NO.232-1)
PB125:GMFDM (PLASTIC ROLL)",0
ENG #2 TEFLON OF FAN AIR VALVE DUCT FOUND WORN,REPLACE TEFLON OF FAN AIR DUCT,GAH320A1,"232-1:76381 (SCOTCH 3M MASKING TAPE NO.232-1)
PB125:GMFDM (PLASTIC ROLL)",5
ENG #2 TEFLON OF FAN AIR VALVE DUCT FOUND WORN,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,Z450H0701110:FAPE3 (BATTERY PACK),0
LH WING SLAT#2 INBOARD SIDE FOUND RUBBER SEAL TORN OFF,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320A1,,0
LH WING SLAT#2 INBOARD SIDE FOUND RUBBER SEAL TORN OFF,REPLACE SLAT SEAL,GAH320A1,,2
LH WING SLAT#2 INBOARD SIDE FOUND RUBBER SEAL TORN OFF,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,"2LA455010-00:D8095 (LIGHT-ANTICOLLISION, BEACON IDN 46254)",6
LH WING SLAT#7 OUTBOARD SIDE RUBBER SEAL TORN OFF,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320A1,"2LA455010-00:D8095 (LIGHT-ANTICOLLISION, BEACON IDN 46254)",0
LH WING SLAT#7 OUTBOARD SIDE RUBBER SEAL TORN OFF,REPLACE SLAT SEAL,GAH320A1,"2LA455010-00:D8095 (LIGHT-ANTICOLLISION, BEACON IDN 46254)",0
LH WING SLAT#7 OUTBOARD SIDE RUBBER SEAL TORN OFF,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,,4
LH WING OUTBOARD FLAP UPLOCK ROLLER OVERPLAY,"OBEY ALL OF THE WARNINGS, CAUTIONS AND N",GAH320A1,"D05A00:C3406 (VALVE FILL/DRAIN, IDN 48846)",1
LH WING OUTBOARD FLAP UPLOCK ROLLER OVERPLAY,REPLACE LH WING O/B FLAP UPLOCK ROLLER,GAH320A1,,0
LH WING OUTBOARD FLAP UPLOCK ROLLER OVERPLAY,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,,5
ENG #2 LH C DUCT PLACARD OPENING/CLOSING BROKEN,COVER BY JOBCRAD EXTERIOR PAINT ORDER 80,GAH320A1,"D05A00:C3406 (VALVE FILL/DRAIN, IDN 48846)",0
LH WING REFUEL PANEL LATCH BROKEN 1EA,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320A1,"D05A00:C3406 (VALVE FILL/DRAIN, IDN 48846)",2.5
LH WING REFUEL PANEL LATCH BROKEN 1EA,REPLACE LATCH LH WING REFUEL PANEL,GAH320A1,"D05A00:C3406 (VALVE FILL/DRAIN, IDN 48846)",0
LH WING REFUEL PANEL LATCH BROKEN 1EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320A1,"A225400427-202:C5270 (PIN-ATTACH)
34655-7708-7:FAPE3 (ALEXIT INT PAINT AIC 2.16 FOG)
34555-0000-0:FAPE3 (ALEXIT HARDENER 345-55)
A425400436-605:FAPE3 (DOOR ASSY-WASHBASIN)",0
LH WING REFUEL CAP LANYARD NOT PROPER INSTALL,COVERED BY MDR 805264001/SEQ.566,GAH320A1,"A225400427-202:C5270 (PIN-ATTACH)
34655-7708-7:FAPE3 (ALEXIT INT PAINT AIC 2.16 FOG)
34555-0000-0:FAPE3 (ALEXIT HARDENER 345-55)
A425400436-605:FAPE3 (DOOR ASSY-WASHBASIN)",1
COVER SUPPORT ARM D4LH AND D4RH FOUND BROKE AND PEEL OFF,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,"A225400427-202:C5270 (PIN-ATTACH)
34655-7708-7:FAPE3 (ALEXIT INT PAINT AIC 2.16 FOG)
34555-0000-0:FAPE3 (ALEXIT HARDENER 345-55)
A425400436-605:FAPE3 (DOOR ASSY-WASHBASIN)",0.2
COVER SUPPORT ARM D4LH AND D4RH FOUND BROKE AND PEEL OFF,REMOVE THE DOOR LINING PANEL FIN 833GZ A,GAH320C1,"A225400427-202:C5270 (PIN-ATTACH)
34655-7708-7:FAPE3 (ALEXIT INT PAINT AIC 2.16 FOG)
34555-0000-0:FAPE3 (ALEXIT HARDENER 345-55)
A425400436-605:FAPE3 (DOOR ASSY-WASHBASIN)",6
COVER SUPPORT ARM D4LH AND D4RH FOUND BROKE AND PEEL OFF,REPAIR COVER SUPPORT ARM POST. D4LH & D4,W401,"A225400427-202:C5270 (PIN-ATTACH)
34655-7708-7:FAPE3 (ALEXIT INT PAINT AIC 2.16 FOG)
34555-0000-0:FAPE3 (ALEXIT HARDENER 345-55)
A425400436-605:FAPE3 (DOOR ASSY-WASHBASIN)",4
COVER SUPPORT ARM D4LH AND D4RH FOUND BROKE AND PEEL OFF,PAINT COVER SUPPORT ARM POST. D4LH & D4R,W103,,0
COVER SUPPORT ARM D4LH AND D4RH FOUND BROKE AND PEEL OFF,INSTALL THE DOOR LINING PANEL FIN 833GZ,GAH320C1,,0
COVER SUPPORT ARM D4LH AND D4RH FOUND BROKE AND PEEL OFF,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,"GA68100090007:GL002 (DRY CLEANING SOLVENT, 1DRUM=333KG)",1
PRESSURE DOOR DAMPER D3RH YELLOW BAND,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,110411-2:GMFDM (CARPET TISCA MEDIUM 100% WOOL-250CM),1
PRESSURE DOOR DAMPER D3RH YELLOW BAND,DO SPECIAL PRECAUTIONS BEFORE WORK ON TH,GAH320C1,"600634-04AG:C0002 (CONTROLLER, VENT)",4
PRESSURE DOOR DAMPER D3RH YELLOW BAND,DO CHARGING THE DOOR DAMPER OF DOOR 3RH,GAH320C1,"600634-04AG:C0002 (CONTROLLER, VENT)",0
PRESSURE DOOR DAMPER D3RH YELLOW BAND,DO LEAK TEST OF THE DOOR DAMPER OF DOOR,GAH320C1,"600634-04AG:C0002 (CONTROLLER, VENT)",0
PRESSURE DOOR DAMPER D3RH YELLOW BAND,DO SPECIAL PRECAUTIONS AFTER WORK ON THE,GAH320C1,62197-001-001:D2249 (WATER BOILER),0
SPRING SAFETY PIN SLIDE RAFT 4R BROKEN (CAN NOT INSTALL),"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,62197-001-001:D2249 (WATER BOILER),1
SPRING SAFETY PIN SLIDE RAFT 4R BROKEN (CAN NOT INSTALL),REMOVE THE SAFETY PIN OF SLIDE RAFT,GAH320C1,"DCIN154-220:C5270 (PUMP)
DCIN154-050:C5270 (HEAD ASSY-LIQUID SOAP DISPENSER)",0
SPRING SAFETY PIN SLIDE RAFT 4R BROKEN (CAN NOT INSTALL),ENSURE AREA IS CLEAR FROM ANY SIGN OF UN,GAH320C1,"600634-04AG:C0002 (CONTROLLER, VENT)",0
SPRING SAFETY PIN SLIDE RAFT 4R BROKEN (CAN NOT INSTALL),INSTALL THE SAFETY PIN OF SLIDE RAFT,GAH320C1,,0
SPRING SAFETY PIN SLIDE RAFT 4R BROKEN (CAN NOT INSTALL),RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,4270-51-00:D1347 (BALLAST UNIT-ADVAND INTEGRATED),1
VIEWER DECORATIVE COVER D4RH NOT INSTALL,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,,0
VIEWER DECORATIVE COVER D4RH NOT INSTALL,INSTALL THE VIEWING PORT OF DECORATIVE C,GAH320C1,,2
VIEWER DECORATIVE COVER D4RH NOT INSTALL,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,"9028A0005-01:D9893 (APPU, ASYM POSITION PICK-OFF UNIT)",4
AAP 4LH FOUND NOT PROPER INSTALL,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,"4063-18221:C0002 (VALVE ISOLATION, FWD CRG)",4
AAP 4LH FOUND NOT PROPER INSTALL,DO RE-INSTALL PROPERLY THE AAP POS 4LH,GAH320C1,,0
AAP 4LH FOUND NOT PROPER INSTALL,DO INTERFACE POWER UP TASTE CIDS,GAH320C1,,8
AAP 4LH FOUND NOT PROPER INSTALL,DO THE SYSTEM TEST OF THE SMOKE DETECTIO,GAH320C1,,0
AAP 4LH FOUND NOT PROPER INSTALL,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,4510-12UF00:63367 (COFFEE MAKER-BEVERAGE (TPN 4510-12UF-00)),0
SCREW RAZOR SOCKET 4LH FOUND NOT INSTALL 1EA,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,4510-12UF00:63367 (COFFEE MAKER-BEVERAGE (TPN 4510-12UF-00)),1.3
SCREW RAZOR SOCKET 4LH FOUND NOT INSTALL 1EA,DO INSTALLATION THE FASTENER OF PANEL SO,GAH320C1,,0.1
SCREW RAZOR SOCKET 4LH FOUND NOT INSTALL 1EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,,0
CAP COVER SUPPORT ARM NOT INSTALL POS D4RH QTY 1EA,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,,2
CAP COVER SUPPORT ARM NOT INSTALL POS D4RH QTY 1EA,INSTALL THE CAP OF SUPPORT ARM PANEL (84,GAH320C1,,0
CAP COVER SUPPORT ARM NOT INSTALL POS D4RH QTY 1EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,2006-1-511-8173:35FB9 (SEAT BELT),1
CONNECTOR HANDSET 1LH FOUND NOT PROPER INSTALL,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,401U3503-1021:81205 (DECORATIVE LAMINATE BAC 93319 SHATTER PA),1
CONNECTOR HANDSET 1LH FOUND NOT PROPER INSTALL,REINSTALL THE CONNECTOR OF HANDSET CRADL,GAH320C1,497B6789:F5251 (COVERING),1
CONNECTOR HANDSET 1LH FOUND NOT PROPER INSTALL,DO OPERATIONAL TEST OF THE HANDSET CRADL,GAH320C1,30-2581-3:72914 (L I G H T),0
CONNECTOR HANDSET 1LH FOUND NOT PROPER INSTALL,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,,0
SEAL FIRST AID KIT POS 4LH FOUND BROKE,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,"PS7-85501-01HF03-B:08748 (CONTROLLER, I MOTION A330-243)",0
SEAL FIRST AID KIT POS 4LH FOUND BROKE,DO REPLACEMENT THE FIRST AID KIT,GAH320C1,"PS7-85501-01HF03-B:08748 (CONTROLLER, I MOTION A330-243)",2
SEAL FIRST AID KIT POS 4LH FOUND BROKE,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH320C1,"PS7-85501-01HF03-B:08748 (CONTROLLER, I MOTION A330-243)",0.2
FIRST AID KIT FOUND EXPIRED POS OHSC C37.1-C37.2,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH320C1,"PS7-85501-01HF03-B:08748 (CONTROLLER, I MOTION A330-243)",0
FIRST AID KIT FOUND EXPIRED POS OHSC C37.1-C37.2,REMOVE THE EXPIRED FAK,GAH320C1,,2
FIRST AID KIT FOUND EXPIRED POS OHSC C37.1-C37.2,INSTALL SERVICABLE FAK,GAH320C1,,0
